0,1,2,3,4
"(0, 0.580492)","(1, 0.41636515)",,,
"(0, 0.4151076)","(1, 0.56690836)","(3, 0.017060384)",,
"(0, 0.4276716)","(1, 0.5547615)","(3, 0.016687877)",,
"(0, 0.59945685)","(1, 0.33932623)","(3, 0.060467906)",,
"(0, 0.48917824)","(1, 0.47664332)","(3, 0.033346314)",,
"(0, 0.52084893)","(1, 0.4756879)",,,
"(0, 0.48090997)","(1, 0.4731707)","(3, 0.04485863)",,
"(0, 0.5883232)","(1, 0.3819376)","(3, 0.02866078)",,
"(0, 0.3249568)","(1, 0.64592105)","(3, 0.028249169)",,
"(0, 0.43124437)","(1, 0.5201157)","(3, 0.04769139)",,
"(0, 0.56009144)","(1, 0.43592155)",,,
"(0, 0.41892362)","(1, 0.57616687)",,,
"(0, 0.4316851)","(1, 0.5300616)","(3, 0.037311587)",,
"(0, 0.30988306)","(1, 0.5366004)","(3, 0.15251388)",,
"(0, 0.4129841)","(1, 0.5841914)",,,
"(0, 0.47745097)","(1, 0.49786168)","(3, 0.023679016)",,
"(0, 0.52376807)","(1, 0.38854507)","(3, 0.08651235)",,
"(0, 0.45069727)","(1, 0.54571444)",,,
"(0, 0.36548862)","(1, 0.5268771)","(3, 0.106716216)",,
"(0, 0.5066425)","(1, 0.4900288)",,,
"(0, 0.55672616)","(1, 0.4391627)",,,
"(0, 0.3910531)","(1, 0.50770104)","(3, 0.10025902)",,
"(0, 0.34500253)","(1, 0.64088315)","(2, 0.01041553)",,
"(0, 0.07406691)","(2, 0.06614001)","(4, 0.8560519)",,
"(0, 0.120649256)","(3, 0.01603893)","(4, 0.86240005)",,
"(0, 0.07530009)","(4, 0.9207485)",,,
"(0, 0.059503745)","(1, 0.021180943)","(2, 0.014541823)","(4, 0.90208733)",
"(0, 0.112768486)","(1, 0.024360385)","(4, 0.8596399)",,
"(0, 0.03953159)","(2, 0.03203042)","(4, 0.92541337)",,
"(3, 0.097904965)","(4, 0.89740884)",,,
"(0, 0.15422183)","(4, 0.8421904)",,,
"(4, 0.99399525)",,,,
"(0, 0.03233846)","(3, 0.057534)","(4, 0.90930426)",,
"(0, 0.059086967)","(3, 0.026391542)","(4, 0.9135182)",,
"(3, 0.063851364)","(4, 0.9227847)",,,
"(0, 0.13424286)","(4, 0.8616853)",,,
"(0, 0.15574755)","(3, 0.018662972)","(4, 0.8246505)",,
"(0, 0.09026594)","(2, 0.029986234)","(4, 0.87657946)",,
"(0, 0.09182802)","(2, 0.03291726)","(4, 0.87260586)",,
"(0, 0.06090479)","(3, 0.015016596)","(4, 0.9137515)",,
"(0, 0.08321637)","(2, 0.03728378)","(4, 0.8730499)",,
"(0, 0.057917338)","(3, 0.014419956)","(4, 0.9267521)",,
"(0, 0.13317719)","(4, 0.8606915)",,,
"(0, 0.12212976)","(4, 0.873886)",,,
"(0, 0.027932355)","(3, 0.014286664)","(4, 0.9568658)",,
"(0, 0.048107915)","(2, 0.022262774)","(4, 0.9258811)",,
"(0, 0.10839845)","(3, 0.020164633)","(4, 0.8704526)",,
"(0, 0.046258297)","(3, 0.017265067)","(4, 0.93561006)",,
"(2, 0.023842346)","(4, 0.9712981)",,,
"(2, 0.0111921765)","(4, 0.9835488)",,,
"(0, 0.022971835)","(2, 0.035634857)","(3, 0.017598081)","(4, 0.9232609)",
"(0, 0.033348132)","(4, 0.9557697)",,,
"(0, 0.086094916)","(4, 0.91027623)",,,
"(0, 0.8519044)","(3, 0.112823084)","(4, 0.034354776)",,
"(0, 0.7328937)","(3, 0.26576245)",,,
"(0, 0.7759761)","(3, 0.2228716)",,,
"(0, 0.79947734)","(3, 0.19919531)",,,
"(0, 0.89182436)","(3, 0.10705845)",,,
"(0, 0.9321355)","(3, 0.05168286)","(4, 0.015077349)",,
"(0, 0.95350575)","(3, 0.044895586)",,,
"(0, 0.8698415)","(3, 0.12870856)",,,
"(0, 0.74272025)","(1, 0.025124984)","(3, 0.23120195)",,
"(0, 0.9141975)","(1, 0.04359407)","(3, 0.04110725)",,
"(0, 0.84837765)","(3, 0.10343349)","(4, 0.047406025)",,
"(0, 0.7764199)","(3, 0.22212985)",,,
"(0, 0.9279064)","(3, 0.07043559)",,,
"(0, 0.83650976)","(3, 0.16219264)",,,
"(0, 0.6739855)","(3, 0.32436362)",,,
"(0, 0.8407257)","(3, 0.1576875)",,,
"(0, 0.840893)","(3, 0.15764178)",,,
"(0, 0.906415)","(3, 0.09259027)",,,
"(0, 0.8546579)","(3, 0.14327171)",,,
"(0, 0.61364377)","(3, 0.38484475)",,,
"(0, 0.8358417)","(3, 0.1624269)",,,
"(0, 0.8895091)","(3, 0.10905856)",,,
"(0, 0.9949241)",,,,
"(0, 0.9198303)","(3, 0.07888192)",,,
"(0, 0.92418337)","(3, 0.0742264)",,,
"(0, 0.89442116)","(3, 0.10436907)",,,
"(0, 0.8511973)","(3, 0.1475536)",,,
"(0, 0.790306)","(3, 0.20828746)",,,
"(0, 0.70939547)","(3, 0.28947538)",,,
"(0, 0.8106702)","(3, 0.18809955)",,,
"(0, 0.18366078)","(2, 0.103849605)","(4, 0.7097337)",,
"(0, 0.25615844)","(2, 0.16572772)","(4, 0.5753066)",,
"(0, 0.18341981)","(2, 0.07665175)","(4, 0.7370037)",,
"(0, 0.13695408)","(2, 0.15634514)","(4, 0.6993336)",,
"(0, 0.33457235)","(2, 0.050180506)","(3, 0.023826357)","(4, 0.59085906)",
"(0, 0.1040343)","(2, 0.10867791)","(3, 0.027794512)","(4, 0.75905496)",
"(0, 0.1892241)","(2, 0.04987546)","(3, 0.018228175)","(4, 0.74223197)",
"(0, 0.13129319)","(2, 0.053960692)","(4, 0.8112916)",,
"(0, 0.20763122)","(2, 0.0574009)","(3, 0.01794806)","(4, 0.7165915)",
"(0, 0.18617122)","(2, 0.02075613)","(4, 0.78896433)",,
"(0, 0.1651205)","(2, 0.08506171)","(4, 0.7458524)",,
"(0, 0.14826882)","(1, 0.024054592)","(3, 0.025857326)","(4, 0.80138326)",
"(0, 0.15879293)","(4, 0.8369524)",,,
"(0, 0.11413107)","(2, 0.10236903)","(3, 0.02636975)","(4, 0.7566072)",
"(0, 0.21213648)","(2, 0.044646073)","(4, 0.740122)",,
"(0, 0.06598644)","(2, 0.1850094)","(4, 0.7459441)",,
"(0, 0.18384126)","(2, 0.06289413)","(4, 0.75001794)",,
"(0, 0.118980266)","(2, 0.030764624)","(3, 0.027767811)","(4, 0.8219028)",
"(0, 0.11246824)","(2, 0.054079354)","(4, 0.83060175)",,
"(0, 0.18398331)","(2, 0.10194365)","(4, 0.71148247)",,
"(0, 0.07423526)","(2, 0.04486008)","(4, 0.87786126)",,
"(0, 0.33458558)","(2, 0.08181623)","(3, 0.044749957)","(4, 0.5383383)",
"(0, 0.20649767)","(2, 0.06106707)","(3, 0.043816388)","(4, 0.6881825)",
"(0, 0.15872388)","(2, 0.10362385)","(3, 0.018372832)","(4, 0.71888655)",
"(0, 0.106241964)","(2, 0.12080411)","(4, 0.7661593)",,
"(0, 0.14602889)","(2, 0.09218107)","(3, 0.047560055)","(4, 0.71375024)",
"(0, 0.11605541)","(2, 0.11459102)","(3, 0.055617083)","(4, 0.71325976)",
"(0, 0.17893507)","(2, 0.0810064)","(4, 0.7375557)",,
"(0, 0.1450307)","(2, 0.11190466)","(4, 0.74006325)",,
"(0, 0.040175267)","(2, 0.13320437)","(4, 0.82311976)",,
"(0, 0.22476365)","(2, 0.37384)","(4, 0.39869308)",,
"(0, 0.13333948)","(2, 0.30405384)","(3, 0.011397432)","(4, 0.55073166)",
"(0, 0.28925884)","(2, 0.33573568)","(4, 0.37199503)",,
"(0, 0.16997838)","(2, 0.22970547)","(3, 0.052872144)","(4, 0.54696363)",
"(0, 0.33234143)","(2, 0.3732306)","(4, 0.29127273)",,
"(0, 0.06013508)","(2, 0.4258275)","(4, 0.511014)",,
"(0, 0.19636345)","(2, 0.32352206)","(4, 0.47717443)",,
"(0, 0.37664264)","(2, 0.25161475)","(3, 0.017342381)","(4, 0.3539765)",
"(0, 0.2071226)","(2, 0.35922426)","(4, 0.43080336)",,
"(0, 0.27654737)","(2, 0.30433747)","(4, 0.41620475)",,
"(0, 0.17668684)","(2, 0.35524416)","(4, 0.46568465)",,
"(0, 0.34572318)","(2, 0.358032)","(4, 0.2935069)",,
"(0, 0.3374217)","(2, 0.3088471)","(4, 0.35094962)",,
"(0, 0.21567112)","(2, 0.20898245)","(4, 0.5726771)",,
"(0, 0.2452354)","(2, 0.3179051)","(4, 0.43428433)",,
"(0, 0.2013791)","(2, 0.35513312)","(4, 0.4401646)",,
"(0, 0.15304263)","(2, 0.38881436)","(4, 0.4553235)",,
"(0, 0.21343543)","(2, 0.4719238)","(4, 0.31204906)",,
"(0, 0.1568146)","(2, 0.39084396)","(3, 0.065347515)","(4, 0.38656265)",
"(0, 0.17366834)","(2, 0.28832066)","(3, 0.01735242)","(4, 0.5202445)",
"(0, 0.16474582)","(2, 0.33691296)","(4, 0.49536833)",,
"(0, 0.16920346)","(2, 0.4075752)","(4, 0.4205769)",,
"(0, 0.10928097)","(2, 0.32381347)","(4, 0.56422246)",,
"(0, 0.27036506)","(2, 0.3784996)","(4, 0.34759662)",,
"(0, 0.1173591)","(2, 0.3439337)","(3, 0.023070833)","(4, 0.51510227)",
"(0, 0.21962225)","(2, 0.28438073)","(4, 0.49112558)",,
"(0, 0.1985435)","(2, 0.48380065)","(4, 0.31427076)",,
"(0, 0.22394954)","(2, 0.32242638)","(4, 0.4512488)",,
"(0, 0.15215424)","(2, 0.35758963)","(4, 0.48682812)",,
"(0, 0.20236471)","(2, 0.43300512)","(4, 0.36207065)",,
"(0, 0.15974243)","(2, 0.21118002)","(4, 0.626426)",,
"(0, 0.337887)","(2, 0.20959187)","(4, 0.4490604)",,
"(0, 0.13050987)","(1, 0.039921362)","(2, 0.2119706)","(4, 0.61388874)",
"(0, 0.15011288)","(2, 0.20692961)","(4, 0.6396689)",,
"(0, 0.46155447)","(2, 0.16803473)","(3, 0.052159768)","(4, 0.31781536)",
"(0, 0.2460245)","(2, 0.15672982)","(4, 0.5941164)",,
"(0, 0.32580158)","(2, 0.33410084)","(4, 0.33707693)",,
"(0, 0.16103163)","(2, 0.052385133)","(4, 0.78317064)",,
"(0, 0.16456375)","(2, 0.092201315)","(4, 0.73851496)",,
